App name,Usage time,Access count,Average screen time
Instagram,329:42:37,6141.0,0:3:13
WhatsApp,145:21:53,6366.0,0:1:22
Phone,101:23:49,3402.0,0:1:47
Call of Duty,85:25:57,545.0,0:9:24
YouTube,82:48:59,1275.0,0:3:53
Opera Mini,43:02:54,501.0,0:5:09
Amazon Kindle,26:26:56,411.0,0:3:51
Opera,26:08:00,230.0,0:6:49
Chrome,22:36:47,1256.0,0:1:04
Hotstar,18:43:45,440.0,0:2:33
MX Player,17:40:02,210.0,0:5:02
Amazon Shopping,11:46:29,526.0,0:1:20
Goodreads,8:34:37,1024.0,0:0:30
Uber Eats,8:17:06,268.0,0:1:51
Swiggy,8:09:57,338.0,0:1:26
Duolingo,7:18:13,105.0,0:4:10
Gallery,5:19:33,555.0,0:0:34
Google Pay,4:37:25,252.0,0:1:06
Map Application,4:20:14,178.0,0:1:27
Google Play Store,4:17:37,382.0,0:0:40
Telegram,4:13:53,263.0,0:0:57
redBus,4:01:56,307.0,0:0:47
Flipkart,3:41:15,111.0,0:1:59
Drive,3:27:28,215.0,0:0:57
Zedge Ringtones & Wallpapers,1:36:47,36.0,0:2:41
Udemy,1:23:22,41.0,0:2:02
Samsung Notes,1:18:06,138.0,0:0:33
IndPay,1:16:59,76.0,0:1:00
Medium,1:06:31,38.0,0:1:45
PUBG MOBILE LITE,1:06:03,6.0,0:11:00
UFO VPN Basic,0:57:33,96.0,0:0:35
LG TV Plus,0:50:39,58.0,0:0:52
Airtel,0:50:32,44.0,0:1:08
Video Player,0:50:06,27.0,0:1:51
App Usage,0:48:28,96.0,0:0:30
Meme Generator Free,0:44:18,31.0,0:1:25
Google,0:43:04,67.0,0:0:38
Crossword,0:34:02,10.0,0:3:24
JioTV,0:33:37,21.0,0:1:36
Calculator,0:33:31,57.0,0:0:35
Snapseed,0:32:25,25.0,0:1:17
Meme Templates,0:32:17,27.0,0:1:11
Audible,0:31:41,63.0,0:0:30
Galaxy Store,0:30:09,47.0,0:0:38
WPS Office,0:30:02,51.0,0:0:35
Canva,0:28:53,20.0,0:1:26
Om Tamil Calendar,0:25:06,24.0,0:1:02
Mi Fit,0:25:05,48.0,0:0:31
IOBMobile,0:24:34,40.0,0:0:36
JioSaavn,0:24:34,27.0,0:0:54
BlaBlaCar,0:22:53,11.0,0:2:04
Evernote,0:19:08,25.0,0:0:45
BookMyShow,0:17:42,20.0,0:0:53
SHAREit,0:17:03,4.0,0:4:15
Software update,0:15:01,28.0,0:0:32
SoloLearn,0:14:05,6.0,0:2:20
English Templates,0:10:27,5.0,0:2:05
WordPress,0:09:28,14.0,0:0:40
Galaxy Themes,0:09:21,17.0,0:0:33
Khan Academy,0:09:15,10.0,0:0:55
Xender,0:08:14,8.0,0:1:01
Airtel Xstream,0:08:04,6.0,0:1:20
Pushbullet,0:07:03,14.0,0:0:30
Galaxy Diagnostics,0:06:51,4.0,0:1:42
Layout,0:06:30,11.0,0:0:35
Prime Video,0:04:23,4.0,0:1:05
Spotify,0:04:08,6.0,0:0:41
Sun NXT,0:04:02,8.0,0:0:30
Samsung Cloud,0:03:26,4.0,0:0:51
TED,0:03:08,4.0,0:0:47
Game Booster,0:02:49,5.0,0:0:33
