App name,Date,Duration
Accessibility,2019-06-01,1.0
Adapt sound,2019-05-29,2.0
Airtel,2019-05-22,2.0
Airtel,2019-05-24,4.0
Airtel,2019-05-26,3.0
Airtel,2019-05-30,1.0
Airtel,2019-07-15,7.0
Airtel,2019-08-18,13.0
Airtel,2019-10-02,3.0
Airtel,2019-11-08,3.0
Airtel,2019-11-11,5.0
Airtel Xstream,2019-08-28,4.0
Airtel Xstream,2019-09-05,2.0
Airtel Xstream,2019-10-08,1.0
Amazon Kindle,2019-05-29,2.0
Amazon Kindle,2019-06-04,1.0
Amazon Kindle,2019-06-05,2.0
Amazon Kindle,2019-06-07,12.0
Amazon Kindle,2019-06-08,15.0
Amazon Kindle,2019-06-09,48.0
Amazon Kindle,2019-06-10,8.0
Amazon Kindle,2019-06-11,18.0
Amazon Kindle,2019-06-12,14.0
Amazon Kindle,2019-06-15,2.0
Amazon Kindle,2019-06-18,25.0
Amazon Kindle,2019-06-20,21.0
Amazon Kindle,2019-06-23,6.0
Amazon Kindle,2019-06-24,8.0
Amazon Kindle,2019-06-26,9.0
Amazon Kindle,2019-06-27,14.0
Amazon Kindle,2019-06-28,10.0
Amazon Kindle,2019-06-29,22.0
Amazon Kindle,2019-06-30,43.0
Amazon Kindle,2019-07-01,38.0
Amazon Kindle,2019-07-03,9.0
Amazon Kindle,2019-07-04,44.0
Amazon Kindle,2019-07-05,18.0
Amazon Kindle,2019-07-10,10.0
Amazon Kindle,2019-07-11,7.0
Amazon Kindle,2019-07-12,6.0
Amazon Kindle,2019-07-13,33.0
Amazon Kindle,2019-07-14,1.0
Amazon Kindle,2019-07-16,25.0
Amazon Kindle,2019-07-17,43.0
Amazon Kindle,2019-07-18,59.0
Amazon Kindle,2019-07-19,35.0
Amazon Kindle,2019-07-20,59.0
Amazon Kindle,2019-07-21,59.0
Amazon Kindle,2019-07-22,11.0
Amazon Kindle,2019-07-23,16.0
Amazon Kindle,2019-07-24,39.0
Amazon Kindle,2019-07-26,42.0
Amazon Kindle,2019-07-28,6.0
Amazon Kindle,2019-07-29,8.0
Amazon Kindle,2019-07-30,18.0
Amazon Kindle,2019-07-31,15.0
Amazon Kindle,2019-08-01,33.0
Amazon Kindle,2019-08-03,43.0
Amazon Kindle,2019-08-05,8.0
Amazon Kindle,2019-08-06,12.0
Amazon Kindle,2019-08-07,6.0
Amazon Kindle,2019-08-08,19.0
Amazon Kindle,2019-08-09,16.0
Amazon Kindle,2019-08-12,19.0
Amazon Kindle,2019-08-13,54.0
Amazon Kindle,2019-08-14,9.0
Amazon Kindle,2019-08-20,9.0
Amazon Kindle,2019-08-21,24.0
Amazon Kindle,2019-08-23,21.0
Amazon Kindle,2019-08-25,2.0
Amazon Kindle,2019-08-26,10.0
Amazon Kindle,2019-08-27,9.0
Amazon Kindle,2019-08-28,19.0
Amazon Kindle,2019-08-29,23.0
Amazon Kindle,2019-09-02,4.0
Amazon Kindle,2019-09-03,7.0
Amazon Kindle,2019-09-04,2.0
Amazon Kindle,2019-09-12,2.0
Amazon Kindle,2019-09-13,10.0
Amazon Kindle,2019-09-15,21.0
Amazon Kindle,2019-09-16,3.0
Amazon Kindle,2019-09-17,2.0
Amazon Kindle,2019-09-18,4.0
Amazon Kindle,2019-09-19,9.0
Amazon Kindle,2019-09-23,6.0
Amazon Kindle,2019-09-24,20.0
Amazon Kindle,2019-09-26,27.0
Amazon Kindle,2019-09-28,8.0
Amazon Kindle,2019-09-29,15.0
Amazon Kindle,2019-09-30,1.0
Amazon Kindle,2019-10-01,45.0
Amazon Kindle,2019-10-02,5.0
Amazon Kindle,2019-10-03,24.0
Amazon Kindle,2019-10-04,5.0
Amazon Kindle,2019-10-09,1.0
Amazon Kindle,2019-10-17,8.0
Amazon Kindle,2019-10-24,3.0
Amazon Kindle,2019-11-10,17.0
Amazon Kindle,2019-11-11,20.0
Amazon Kindle,2019-11-13,10.0
Amazon Kindle,2019-11-14,13.0
Amazon Kindle,2019-11-16,12.0
Amazon Kindle,2019-11-20,8.0
Amazon Kindle,2019-11-22,3.0
Amazon Shopping,2019-05-18,11.0
Amazon Shopping,2019-05-28,3.0
Amazon Shopping,2019-05-30,3.0
Amazon Shopping,2019-06-11,3.0
Amazon Shopping,2019-06-15,6.0
Amazon Shopping,2019-06-16,7.0
Amazon Shopping,2019-06-19,9.0
Amazon Shopping,2019-06-20,3.0
Amazon Shopping,2019-06-22,2.0
Amazon Shopping,2019-06-23,2.0
Amazon Shopping,2019-06-24,1.0
Amazon Shopping,2019-06-25,12.0
Amazon Shopping,2019-06-26,2.0
Amazon Shopping,2019-06-27,1.0
Amazon Shopping,2019-06-28,1.0
Amazon Shopping,2019-06-29,7.0
Amazon Shopping,2019-07-01,3.0
Amazon Shopping,2019-07-02,3.0
Amazon Shopping,2019-07-03,18.0
Amazon Shopping,2019-07-04,1.0
Amazon Shopping,2019-07-05,7.0
Amazon Shopping,2019-07-06,3.0
Amazon Shopping,2019-07-12,7.0
Amazon Shopping,2019-07-13,3.0
Amazon Shopping,2019-07-15,7.0
Amazon Shopping,2019-07-16,7.0
Amazon Shopping,2019-07-17,5.0
Amazon Shopping,2019-07-18,21.0
Amazon Shopping,2019-07-20,5.0
Amazon Shopping,2019-07-21,4.0
Amazon Shopping,2019-07-22,6.0
Amazon Shopping,2019-07-24,8.0
Amazon Shopping,2019-07-26,6.0
Amazon Shopping,2019-07-30,1.0
Amazon Shopping,2019-07-31,4.0
Amazon Shopping,2019-08-03,1.0
Amazon Shopping,2019-08-05,24.0
Amazon Shopping,2019-08-06,5.0
Amazon Shopping,2019-08-07,4.0
Amazon Shopping,2019-08-08,17.0
Amazon Shopping,2019-08-09,8.0
Amazon Shopping,2019-08-10,1.0
Amazon Shopping,2019-08-11,10.0
Amazon Shopping,2019-08-13,2.0
Amazon Shopping,2019-08-14,9.0
Amazon Shopping,2019-08-15,8.0
Amazon Shopping,2019-08-16,2.0
Amazon Shopping,2019-08-17,1.0
Amazon Shopping,2019-08-20,4.0
Amazon Shopping,2019-08-21,1.0
Amazon Shopping,2019-08-22,8.0
Amazon Shopping,2019-08-24,7.0
Amazon Shopping,2019-08-25,7.0
Amazon Shopping,2019-08-26,6.0
Amazon Shopping,2019-08-27,7.0
Amazon Shopping,2019-08-29,1.0
Amazon Shopping,2019-09-02,11.0
Amazon Shopping,2019-09-03,2.0
Amazon Shopping,2019-09-04,6.0
Amazon Shopping,2019-09-05,2.0
Amazon Shopping,2019-09-09,1.0
Amazon Shopping,2019-09-15,9.0
Amazon Shopping,2019-09-17,3.0
Amazon Shopping,2019-09-18,1.0
Amazon Shopping,2019-09-20,2.0
Amazon Shopping,2019-09-21,3.0
Amazon Shopping,2019-09-23,7.0
Amazon Shopping,2019-09-24,2.0
Amazon Shopping,2019-09-25,2.0
Amazon Shopping,2019-09-26,14.0
Amazon Shopping,2019-09-28,2.0
Amazon Shopping,2019-09-29,9.0
Amazon Shopping,2019-09-30,3.0
Amazon Shopping,2019-10-01,6.0
Amazon Shopping,2019-10-02,13.0
Amazon Shopping,2019-10-03,9.0
Amazon Shopping,2019-10-04,4.0
Amazon Shopping,2019-10-07,6.0
Amazon Shopping,2019-10-09,2.0
Amazon Shopping,2019-10-11,2.0
Amazon Shopping,2019-10-12,1.0
Amazon Shopping,2019-10-13,1.0
Amazon Shopping,2019-10-14,7.0
Amazon Shopping,2019-10-15,9.0
Amazon Shopping,2019-10-16,2.0
Amazon Shopping,2019-10-17,2.0
Amazon Shopping,2019-10-18,8.0
Amazon Shopping,2019-10-21,13.0
Amazon Shopping,2019-10-25,3.0
Amazon Shopping,2019-10-26,12.0
Amazon Shopping,2019-10-27,4.0
Amazon Shopping,2019-10-28,3.0
Amazon Shopping,2019-10-29,14.0
Amazon Shopping,2019-10-30,5.0
Amazon Shopping,2019-11-01,1.0
Amazon Shopping,2019-11-04,2.0
Amazon Shopping,2019-11-05,2.0
Amazon Shopping,2019-11-08,10.0
Amazon Shopping,2019-11-11,2.0
Amazon Shopping,2019-11-13,3.0
Amazon Shopping,2019-11-15,3.0
Amazon Shopping,2019-11-17,2.0
Amazon Shopping,2019-11-18,1.0
Amazon Shopping,2019-11-23,5.0
Amazon Shopping,2019-11-24,3.0
Audible,2019-09-28,4.0
Audible,2019-09-29,2.0
Audible,2019-10-04,1.0
Audible,2019-10-07,1.0
Audible,2019-10-15,1.0
Audible,2019-11-17,6.0
B612,2019-06-09,1.0
BOMBitUP,2019-06-12,2.0
BlaBlaCar,2019-08-09,13.0
BlaBlaCar,2019-08-12,5.0
BlaBlaCar,2019-08-15,2.0
BlaBlaCar,2019-08-21,2.0
BookMyShow,2019-06-08,12.0
Calculator,2019-07-03,3.0
Calculator,2019-07-06,1.0
Calculator,2019-07-12,1.0
Calculator,2019-09-22,1.0
Calculator,2019-10-21,5.0
Calculator,2019-11-14,3.0
Calendar,2019-06-14,1.0
Calendar,2019-06-19,2.0
Calendar,2019-06-30,1.0
Calendar,2019-07-01,2.0
Calendar,2019-08-26,2.0
Calendar,2019-08-31,1.0
Calendar,2019-10-03,1.0
Calendar,2019-11-01,1.0
Call of Duty,2019-05-17,5.0
Call of Duty,2019-05-18,36.0
Call of Duty,2019-05-19,85.0
Call of Duty,2019-05-20,2.0
Call of Duty,2019-05-21,39.0
Call of Duty,2019-05-22,124.0
Call of Duty,2019-05-23,43.0
Call of Duty,2019-05-24,159.0
Call of Duty,2019-05-25,52.0
Call of Duty,2019-05-26,134.0
Call of Duty,2019-05-27,132.0
Call of Duty,2019-05-28,94.0
Call of Duty,2019-05-29,71.0
Call of Duty,2019-05-30,172.0
Call of Duty,2019-05-31,126.0
Call of Duty,2019-06-01,85.0
Call of Duty,2019-06-02,133.0
Call of Duty,2019-06-03,65.0
Call of Duty,2019-06-04,62.0
Call of Duty,2019-06-05,120.0
Call of Duty,2019-06-06,6.0
Call of Duty,2019-06-07,1.0
Call of Duty,2019-06-11,10.0
Call of Duty,2019-06-12,2.0
Call of Duty,2019-06-19,75.0
Call of Duty,2019-06-21,53.0
Call of Duty,2019-06-22,53.0
Call of Duty,2019-06-23,50.0
Call of Duty,2019-06-24,25.0
Call of Duty,2019-06-25,34.0
Call of Duty,2019-06-26,38.0
Call of Duty,2019-06-27,17.0
Call of Duty,2019-06-29,61.0
Call of Duty,2019-07-02,40.0
Call of Duty,2019-07-03,1.0
Call of Duty,2019-07-06,4.0
Call of Duty,2019-07-07,2.0
Call of Duty,2019-07-18,23.0
Call of Duty,2019-07-27,1.0
Call of Duty,2019-08-10,32.0
Call of Duty,2019-08-11,31.0
Call of Duty,2019-08-16,2.0
Call of Duty,2019-08-17,1.0
Call of Duty,2019-08-18,1.0
Call of Duty,2019-08-22,12.0
Call of Duty,2019-08-23,11.0
Call of Duty,2019-08-24,9.0
Call of Duty,2019-09-21,18.0
Call of Duty,2019-09-28,1.0
Call of Duty,2019-09-29,3.0
Call of Duty,2019-10-01,15.0
Call of Duty,2019-10-02,50.0
Call of Duty,2019-10-03,27.0
Call of Duty,2019-10-05,151.0
Call of Duty,2019-10-06,148.0
Call of Duty,2019-10-07,157.0
Call of Duty,2019-10-08,77.0
Call of Duty,2019-10-09,49.0
Call of Duty,2019-10-10,23.0
Call of Duty,2019-10-11,59.0
Call of Duty,2019-10-12,94.0
Call of Duty,2019-10-13,54.0
Call of Duty,2019-10-14,38.0
Call of Duty,2019-10-15,43.0
Call of Duty,2019-10-16,108.0
Call of Duty,2019-10-17,74.0
Call of Duty,2019-10-21,54.0
Call of Duty,2019-10-22,13.0
Call of Duty,2019-10-23,100.0
Call of Duty,2019-10-24,104.0
Call of Duty,2019-10-25,153.0
Call of Duty,2019-10-26,52.0
Call of Duty,2019-10-27,47.0
Call of Duty,2019-10-28,17.0
Call of Duty,2019-10-29,4.0
Call of Duty,2019-10-30,24.0
Call of Duty,2019-10-31,40.0
Call of Duty,2019-11-01,50.0
Call of Duty,2019-11-02,53.0
Call of Duty,2019-11-03,62.0
Call of Duty,2019-11-04,35.0
Call of Duty,2019-11-05,58.0
Call of Duty,2019-11-06,17.0
Call of Duty,2019-11-07,14.0
Call of Duty,2019-11-08,27.0
Call of Duty,2019-11-09,79.0
Call of Duty,2019-11-10,66.0
Call of Duty,2019-11-11,23.0
Call of Duty,2019-11-12,52.0
Call of Duty,2019-11-13,47.0
Call of Duty,2019-11-14,34.0
Call of Duty,2019-11-15,9.0
Call of Duty,2019-11-16,21.0
Call of Duty,2019-11-18,60.0
Call of Duty,2019-11-19,21.0
Call of Duty,2019-11-20,34.0
Call of Duty,2019-11-21,43.0
Call of Duty,2019-11-22,48.0
Call of Duty,2019-11-23,24.0
Call of Duty,2019-11-24,5.0
Call of Duty,2019-11-25,1.0
Call of Duty,2019-11-26,6.0
Camera,2019-06-02,4.0
Camera,2019-06-09,1.0
Camera,2019-06-14,4.0
Camera,2019-06-19,1.0
Camera,2019-06-22,1.0
Camera,2019-06-26,3.0
Camera,2019-07-01,7.0
Camera,2019-08-04,4.0
Camera,2019-08-11,1.0
Camera,2019-08-26,1.0
Camera,2019-08-28,4.0
Camera,2019-08-29,1.0
Camera,2019-09-01,3.0
Camera,2019-09-06,2.0
Camera,2019-09-08,1.0
Camera,2019-09-09,1.0
Camera,2019-09-10,2.0
Camera,2019-09-13,1.0
Camera,2019-09-15,6.0
Camera,2019-09-22,1.0
Camera,2019-09-26,1.0
Camera,2019-09-27,4.0
Camera,2019-09-29,1.0
Camera,2019-10-18,1.0
Camera,2019-10-21,2.0
Camera,2019-10-27,1.0
Camera,2019-11-25,2.0
Canva,2019-07-03,4.0
Canva,2019-07-07,2.0
Canva,2019-07-09,4.0
Canva,2019-08-04,4.0
Canva,2019-09-30,3.0
Canva,2019-10-01,7.0
Chrome,2019-05-18,1.0
Chrome,2019-05-22,5.0
Chrome,2019-05-23,1.0
Chrome,2019-05-24,6.0
Chrome,2019-05-25,5.0
Chrome,2019-05-26,5.0
Chrome,2019-05-28,2.0
Chrome,2019-05-29,1.0
Chrome,2019-05-30,4.0
Chrome,2019-05-31,2.0
Chrome,2019-06-01,7.0
Chrome,2019-06-03,9.0
Chrome,2019-06-04,25.0
Chrome,2019-06-05,1.0
Chrome,2019-06-06,5.0
Chrome,2019-06-07,2.0
Chrome,2019-06-08,8.0
Chrome,2019-06-09,19.0
Chrome,2019-06-11,3.0
Chrome,2019-06-12,1.0
Chrome,2019-06-13,10.0
Chrome,2019-06-14,4.0
Chrome,2019-06-15,32.0
Chrome,2019-06-16,27.0
Chrome,2019-06-17,6.0
Chrome,2019-06-18,1.0
Chrome,2019-06-19,2.0
Chrome,2019-06-20,4.0
Chrome,2019-06-21,7.0
Chrome,2019-06-22,1.0
Chrome,2019-06-23,7.0
Chrome,2019-06-25,9.0
Chrome,2019-06-26,1.0
Chrome,2019-06-27,4.0
Chrome,2019-06-28,13.0
Chrome,2019-06-29,7.0
Chrome,2019-06-30,30.0
Chrome,2019-07-02,48.0
Chrome,2019-07-03,25.0
Chrome,2019-07-04,14.0
Chrome,2019-07-05,5.0
Chrome,2019-07-06,9.0
Chrome,2019-07-07,3.0
Chrome,2019-07-09,6.0
Chrome,2019-07-10,56.0
Chrome,2019-07-11,7.0
Chrome,2019-07-13,13.0
Chrome,2019-07-14,5.0
Chrome,2019-07-15,1.0
Chrome,2019-07-18,5.0
Chrome,2019-07-19,2.0
Chrome,2019-07-20,2.0
Chrome,2019-07-21,3.0
Chrome,2019-07-23,2.0
Chrome,2019-07-24,1.0
Chrome,2019-07-25,5.0
Chrome,2019-07-27,1.0
Chrome,2019-07-28,1.0
Chrome,2019-07-29,1.0
Chrome,2019-07-30,22.0
Chrome,2019-07-31,1.0
Chrome,2019-08-01,4.0
Chrome,2019-08-02,2.0
Chrome,2019-08-03,1.0
Chrome,2019-08-04,20.0
Chrome,2019-08-05,3.0
Chrome,2019-08-06,4.0
Chrome,2019-08-07,3.0
Chrome,2019-08-08,6.0
Chrome,2019-08-09,13.0
Chrome,2019-08-13,10.0
Chrome,2019-08-14,3.0
Chrome,2019-08-15,10.0
Chrome,2019-08-16,4.0
Chrome,2019-08-18,9.0
Chrome,2019-08-21,2.0
Chrome,2019-08-22,6.0
Chrome,2019-08-23,9.0
Chrome,2019-08-24,2.0
Chrome,2019-08-25,7.0
Chrome,2019-08-26,3.0
Chrome,2019-08-27,5.0
Chrome,2019-08-29,8.0
Chrome,2019-08-30,2.0
Chrome,2019-08-31,6.0
Chrome,2019-09-01,7.0
Chrome,2019-09-02,3.0
Chrome,2019-09-03,1.0
Chrome,2019-09-04,3.0
Chrome,2019-09-06,12.0
Chrome,2019-09-07,2.0
Chrome,2019-09-08,4.0
Chrome,2019-09-09,1.0
Chrome,2019-09-13,12.0
Chrome,2019-09-14,2.0
Chrome,2019-09-15,14.0
Chrome,2019-09-17,10.0
Chrome,2019-09-18,4.0
Chrome,2019-09-20,19.0
Chrome,2019-09-21,5.0
Chrome,2019-09-22,6.0
Chrome,2019-09-23,1.0
Chrome,2019-09-24,2.0
Chrome,2019-09-25,3.0
Chrome,2019-09-26,3.0
Chrome,2019-09-27,9.0
Chrome,2019-09-28,2.0
Chrome,2019-09-29,12.0
Chrome,2019-09-30,4.0
Chrome,2019-10-01,36.0
Chrome,2019-10-02,14.0
Chrome,2019-10-03,21.0
