App name,Date,Duration,Check phone count of all Apps,Total screen time of all Apps,App total Usage time,App total Access count,App total Average Screen time
Accessibility,2019-06-01,1.0,73.0,5:33:07,,,
Adapt sound,2019-05-29,2.0,63.0,6:04:37,,,
Airtel,2019-05-22,2.0,78.0,7:31:39,0:50:32,44.0,0:1:08
Airtel,2019-05-24,4.0,70.0,7:44:25,0:50:32,44.0,0:1:08
Airtel,2019-05-26,3.0,52.0,6:55:16,0:50:32,44.0,0:1:08
Airtel,2019-05-30,1.0,68.0,8:37:01,0:50:32,44.0,0:1:08
Airtel,2019-07-15,7.0,90.0,7:53:29,0:50:32,44.0,0:1:08
Airtel,2019-08-18,13.0,62.0,7:35:19,0:50:32,44.0,0:1:08
Airtel,2019-10-02,3.0,80.0,8:09:54,0:50:32,44.0,0:1:08
Airtel,2019-11-08,3.0,79.0,6:13:26,0:50:32,44.0,0:1:08
Airtel,2019-11-11,5.0,78.0,5:56:43,0:50:32,44.0,0:1:08
Airtel Xstream,2019-08-28,4.0,73.0,5:32:34,0:08:04,6.0,0:1:20
Airtel Xstream,2019-09-05,2.0,79.0,6:33:23,0:08:04,6.0,0:1:20
Airtel Xstream,2019-10-08,1.0,68.0,5:36:21,0:08:04,6.0,0:1:20
Amazon Kindle,2019-05-29,2.0,63.0,6:04:37,26:26:56,411.0,0:3:51
Amazon Kindle,2019-06-04,1.0,75.0,5:07:30,26:26:56,411.0,0:3:51
Amazon Kindle,2019-06-05,2.0,45.0,7:04:15,26:26:56,411.0,0:3:51
Amazon Kindle,2019-06-07,12.0,69.0,5:33:33,26:26:56,411.0,0:3:51
Amazon Kindle,2019-06-08,15.0,80.0,6:10:35,26:26:56,411.0,0:3:51
Amazon Kindle,2019-06-09,48.0,66.0,7:11:13,26:26:56,411.0,0:3:51
Amazon Kindle,2019-06-10,8.0,79.0,4:22:21,26:26:56,411.0,0:3:51
Amazon Kindle,2019-06-11,18.0,78.0,5:18:00,26:26:56,411.0,0:3:51
Amazon Kindle,2019-06-12,14.0,72.0,6:10:34,26:26:56,411.0,0:3:51
Amazon Kindle,2019-06-15,2.0,71.0,5:08:02,26:26:56,411.0,0:3:51
Amazon Kindle,2019-06-18,25.0,49.0,5:28:29,26:26:56,411.0,0:3:51
Amazon Kindle,2019-06-20,21.0,64.0,4:37:30,26:26:56,411.0,0:3:51
Amazon Kindle,2019-06-23,6.0,74.0,6:38:16,26:26:56,411.0,0:3:51
Amazon Kindle,2019-06-24,8.0,37.0,4:58:25,26:26:56,411.0,0:3:51
Amazon Kindle,2019-06-26,9.0,75.0,6:15:42,26:26:56,411.0,0:3:51
Amazon Kindle,2019-06-27,14.0,56.0,7:51:13,26:26:56,411.0,0:3:51
Amazon Kindle,2019-06-28,10.0,60.0,4:02:33,26:26:56,411.0,0:3:51
Amazon Kindle,2019-06-29,22.0,70.0,7:28:32,26:26:56,411.0,0:3:51
Amazon Kindle,2019-06-30,43.0,69.0,7:17:21,26:26:56,411.0,0:3:51
Amazon Kindle,2019-07-01,38.0,76.0,6:15:09,26:26:56,411.0,0:3:51
Amazon Kindle,2019-07-03,9.0,74.0,8:40:21,26:26:56,411.0,0:3:51
Amazon Kindle,2019-07-04,44.0,36.0,3:35:33,26:26:56,411.0,0:3:51
Amazon Kindle,2019-07-05,18.0,104.0,7:58:23,26:26:56,411.0,0:3:51
Amazon Kindle,2019-07-10,10.0,92.0,6:08:02,26:26:56,411.0,0:3:51
Amazon Kindle,2019-07-11,7.0,87.0,6:59:12,26:26:56,411.0,0:3:51
Amazon Kindle,2019-07-12,6.0,65.0,4:24:32,26:26:56,411.0,0:3:51
Amazon Kindle,2019-07-13,33.0,76.0,3:54:05,26:26:56,411.0,0:3:51
Amazon Kindle,2019-07-14,1.0,92.0,7:53:56,26:26:56,411.0,0:3:51
Amazon Kindle,2019-07-16,25.0,71.0,5:36:16,26:26:56,411.0,0:3:51
Amazon Kindle,2019-07-17,43.0,58.0,5:19:17,26:26:56,411.0,0:3:51
Amazon Kindle,2019-07-18,59.0,64.0,6:48:43,26:26:56,411.0,0:3:51
Amazon Kindle,2019-07-19,35.0,68.0,5:48:51,26:26:56,411.0,0:3:51
Amazon Kindle,2019-07-20,59.0,110.0,7:46:52,26:26:56,411.0,0:3:51
Amazon Kindle,2019-07-21,59.0,64.0,5:48:20,26:26:56,411.0,0:3:51
Amazon Kindle,2019-07-22,11.0,82.0,4:54:36,26:26:56,411.0,0:3:51
Amazon Kindle,2019-07-23,16.0,91.0,4:53:25,26:26:56,411.0,0:3:51
Amazon Kindle,2019-07-24,39.0,65.0,5:22:45,26:26:56,411.0,0:3:51
Amazon Kindle,2019-07-26,42.0,63.0,5:47:43,26:26:56,411.0,0:3:51
Amazon Kindle,2019-07-28,6.0,81.0,3:39:34,26:26:56,411.0,0:3:51
Amazon Kindle,2019-07-29,8.0,59.0,4:48:43,26:26:56,411.0,0:3:51
Amazon Kindle,2019-07-30,18.0,66.0,5:32:03,26:26:56,411.0,0:3:51
Amazon Kindle,2019-07-31,15.0,70.0,4:25:26,26:26:56,411.0,0:3:51
Amazon Kindle,2019-08-01,33.0,64.0,5:37:12,26:26:56,411.0,0:3:51
Amazon Kindle,2019-08-03,43.0,63.0,9:30:01,26:26:56,411.0,0:3:51
Amazon Kindle,2019-08-05,8.0,73.0,4:02:18,26:26:56,411.0,0:3:51
Amazon Kindle,2019-08-06,12.0,67.0,4:29:27,26:26:56,411.0,0:3:51
Amazon Kindle,2019-08-07,6.0,83.0,3:42:42,26:26:56,411.0,0:3:51
Amazon Kindle,2019-08-08,19.0,65.0,5:13:35,26:26:56,411.0,0:3:51
Amazon Kindle,2019-08-09,16.0,79.0,4:39:07,26:26:56,411.0,0:3:51
Amazon Kindle,2019-08-12,19.0,53.0,5:26:19,26:26:56,411.0,0:3:51
Amazon Kindle,2019-08-13,54.0,80.0,5:46:56,26:26:56,411.0,0:3:51
Amazon Kindle,2019-08-14,9.0,91.0,5:39:46,26:26:56,411.0,0:3:51
Amazon Kindle,2019-08-20,9.0,69.0,6:10:46,26:26:56,411.0,0:3:51
Amazon Kindle,2019-08-21,24.0,92.0,6:03:01,26:26:56,411.0,0:3:51
Amazon Kindle,2019-08-23,21.0,77.0,6:07:13,26:26:56,411.0,0:3:51
Amazon Kindle,2019-08-25,2.0,114.0,4:36:27,26:26:56,411.0,0:3:51
Amazon Kindle,2019-08-26,10.0,93.0,5:47:29,26:26:56,411.0,0:3:51
Amazon Kindle,2019-08-27,9.0,60.0,4:49:13,26:26:56,411.0,0:3:51
Amazon Kindle,2019-08-28,19.0,73.0,5:32:34,26:26:56,411.0,0:3:51
Amazon Kindle,2019-08-29,23.0,58.0,3:56:34,26:26:56,411.0,0:3:51
Amazon Kindle,2019-09-02,4.0,70.0,7:21:15,26:26:56,411.0,0:3:51
Amazon Kindle,2019-09-03,7.0,79.0,6:04:16,26:26:56,411.0,0:3:51
Amazon Kindle,2019-09-04,2.0,55.0,5:16:44,26:26:56,411.0,0:3:51
Amazon Kindle,2019-09-12,2.0,70.0,4:35:26,26:26:56,411.0,0:3:51
Amazon Kindle,2019-09-13,10.0,93.0,7:41:37,26:26:56,411.0,0:3:51
Amazon Kindle,2019-09-15,21.0,68.0,5:17:22,26:26:56,411.0,0:3:51
Amazon Kindle,2019-09-16,3.0,60.0,5:25:12,26:26:56,411.0,0:3:51
Amazon Kindle,2019-09-17,2.0,81.0,6:35:45,26:26:56,411.0,0:3:51
Amazon Kindle,2019-09-18,4.0,100.0,4:55:35,26:26:56,411.0,0:3:51
Amazon Kindle,2019-09-19,9.0,71.0,4:56:16,26:26:56,411.0,0:3:51
Amazon Kindle,2019-09-23,6.0,83.0,3:43:51,26:26:56,411.0,0:3:51
Amazon Kindle,2019-09-24,20.0,70.0,5:24:17,26:26:56,411.0,0:3:51
Amazon Kindle,2019-09-26,27.0,103.0,6:03:26,26:26:56,411.0,0:3:51
Amazon Kindle,2019-09-28,8.0,63.0,6:04:37,26:26:56,411.0,0:3:51
Amazon Kindle,2019-09-29,15.0,100.0,5:24:17,26:26:56,411.0,0:3:51
Amazon Kindle,2019-09-30,1.0,63.0,5:12:23,26:26:56,411.0,0:3:51
Amazon Kindle,2019-10-01,45.0,68.0,6:18:51,26:26:56,411.0,0:3:51
Amazon Kindle,2019-10-02,5.0,80.0,8:09:54,26:26:56,411.0,0:3:51
Amazon Kindle,2019-10-03,24.0,77.0,7:37:37,26:26:56,411.0,0:3:51
Amazon Kindle,2019-10-04,5.0,90.0,4:28:53,26:26:56,411.0,0:3:51
Amazon Kindle,2019-10-09,1.0,60.0,6:45:04,26:26:56,411.0,0:3:51
Amazon Kindle,2019-10-17,8.0,84.0,7:00:45,26:26:56,411.0,0:3:51
Amazon Kindle,2019-10-24,3.0,91.0,7:37:49,26:26:56,411.0,0:3:51
Amazon Kindle,2019-11-10,17.0,62.0,6:58:54,26:26:56,411.0,0:3:51
Amazon Kindle,2019-11-11,20.0,78.0,5:56:43,26:26:56,411.0,0:3:51
Amazon Kindle,2019-11-13,10.0,76.0,5:05:49,26:26:56,411.0,0:3:51
Amazon Kindle,2019-11-14,13.0,70.0,5:34:35,26:26:56,411.0,0:3:51
Amazon Kindle,2019-11-16,12.0,77.0,5:55:52,26:26:56,411.0,0:3:51
Amazon Kindle,2019-11-20,8.0,53.0,3:57:31,26:26:56,411.0,0:3:51
Amazon Kindle,2019-11-22,3.0,60.0,4:07:32,26:26:56,411.0,0:3:51
Amazon Shopping,2019-05-18,11.0,68.0,4:37:25,11:46:29,526.0,0:1:20
Amazon Shopping,2019-05-28,3.0,64.0,5:18:12,11:46:29,526.0,0:1:20
Amazon Shopping,2019-05-30,3.0,68.0,8:37:01,11:46:29,526.0,0:1:20
Amazon Shopping,2019-06-11,3.0,78.0,5:18:00,11:46:29,526.0,0:1:20
Amazon Shopping,2019-06-15,6.0,71.0,5:08:02,11:46:29,526.0,0:1:20
Amazon Shopping,2019-06-16,7.0,105.0,4:54:08,11:46:29,526.0,0:1:20
Amazon Shopping,2019-06-19,9.0,52.0,6:39:43,11:46:29,526.0,0:1:20
Amazon Shopping,2019-06-20,3.0,64.0,4:37:30,11:46:29,526.0,0:1:20
Amazon Shopping,2019-06-22,2.0,80.0,7:17:22,11:46:29,526.0,0:1:20
Amazon Shopping,2019-06-23,2.0,74.0,6:38:16,11:46:29,526.0,0:1:20
Amazon Shopping,2019-06-24,1.0,37.0,4:58:25,11:46:29,526.0,0:1:20
Amazon Shopping,2019-06-25,12.0,59.0,6:03:45,11:46:29,526.0,0:1:20
Amazon Shopping,2019-06-26,2.0,75.0,6:15:42,11:46:29,526.0,0:1:20
Amazon Shopping,2019-06-27,1.0,56.0,7:51:13,11:46:29,526.0,0:1:20
Amazon Shopping,2019-06-28,1.0,60.0,4:02:33,11:46:29,526.0,0:1:20
Amazon Shopping,2019-06-29,7.0,70.0,7:28:32,11:46:29,526.0,0:1:20
Amazon Shopping,2019-07-01,3.0,76.0,6:15:09,11:46:29,526.0,0:1:20
Amazon Shopping,2019-07-02,3.0,83.0,6:15:16,11:46:29,526.0,0:1:20
Amazon Shopping,2019-07-03,18.0,74.0,8:40:21,11:46:29,526.0,0:1:20
Amazon Shopping,2019-07-04,1.0,36.0,3:35:33,11:46:29,526.0,0:1:20
Amazon Shopping,2019-07-05,7.0,104.0,7:58:23,11:46:29,526.0,0:1:20
Amazon Shopping,2019-07-06,3.0,96.0,4:01:14,11:46:29,526.0,0:1:20
Amazon Shopping,2019-07-12,7.0,65.0,4:24:32,11:46:29,526.0,0:1:20
Amazon Shopping,2019-07-13,3.0,76.0,3:54:05,11:46:29,526.0,0:1:20
Amazon Shopping,2019-07-15,7.0,90.0,7:53:29,11:46:29,526.0,0:1:20
Amazon Shopping,2019-07-16,7.0,71.0,5:36:16,11:46:29,526.0,0:1:20
Amazon Shopping,2019-07-17,5.0,58.0,5:19:17,11:46:29,526.0,0:1:20
Amazon Shopping,2019-07-18,21.0,64.0,6:48:43,11:46:29,526.0,0:1:20
Amazon Shopping,2019-07-20,5.0,110.0,7:46:52,11:46:29,526.0,0:1:20
Amazon Shopping,2019-07-21,4.0,64.0,5:48:20,11:46:29,526.0,0:1:20
Amazon Shopping,2019-07-22,6.0,82.0,4:54:36,11:46:29,526.0,0:1:20
Amazon Shopping,2019-07-24,8.0,65.0,5:22:45,11:46:29,526.0,0:1:20
Amazon Shopping,2019-07-26,6.0,63.0,5:47:43,11:46:29,526.0,0:1:20
Amazon Shopping,2019-07-30,1.0,66.0,5:32:03,11:46:29,526.0,0:1:20
Amazon Shopping,2019-07-31,4.0,70.0,4:25:26,11:46:29,526.0,0:1:20
Amazon Shopping,2019-08-03,1.0,63.0,9:30:01,11:46:29,526.0,0:1:20
Amazon Shopping,2019-08-05,24.0,73.0,4:02:18,11:46:29,526.0,0:1:20
Amazon Shopping,2019-08-06,5.0,67.0,4:29:27,11:46:29,526.0,0:1:20
Amazon Shopping,2019-08-07,4.0,83.0,3:42:42,11:46:29,526.0,0:1:20
Amazon Shopping,2019-08-08,17.0,65.0,5:13:35,11:46:29,526.0,0:1:20
Amazon Shopping,2019-08-09,8.0,79.0,4:39:07,11:46:29,526.0,0:1:20
Amazon Shopping,2019-08-10,1.0,69.0,3:06:10,11:46:29,526.0,0:1:20
Amazon Shopping,2019-08-11,10.0,81.0,4:35:58,11:46:29,526.0,0:1:20
Amazon Shopping,2019-08-13,2.0,80.0,5:46:56,11:46:29,526.0,0:1:20
Amazon Shopping,2019-08-14,9.0,91.0,5:39:46,11:46:29,526.0,0:1:20
Amazon Shopping,2019-08-15,8.0,83.0,6:43:34,11:46:29,526.0,0:1:20
Amazon Shopping,2019-08-16,2.0,83.0,5:54:50,11:46:29,526.0,0:1:20
