App name,Date,Duration,Check phone count of all Apps,Total screen time of all Apps,App total Usage time,App total Access count,App total Average Screen time,User_Engagement_Level
Airtel,2019-05-22,2.0,78.0,0 days 07:31:39,0:50:32,44.0,0:1:08,Highly Engaged
Airtel,2019-05-24,4.0,70.0,0 days 07:44:25,0:50:32,44.0,0:1:08,Highly Engaged
Airtel,2019-05-26,3.0,52.0,0 days 06:55:16,0:50:32,44.0,0:1:08,Highly Engaged
Airtel,2019-05-30,1.0,68.0,0 days 08:37:01,0:50:32,44.0,0:1:08,Highly Engaged
Airtel,2019-07-15,7.0,90.0,0 days 07:53:29,0:50:32,44.0,0:1:08,Highly Engaged
Airtel,2019-08-18,13.0,62.0,0 days 07:35:19,0:50:32,44.0,0:1:08,Highly Engaged
Airtel,2019-10-02,3.0,80.0,0 days 08:09:54,0:50:32,44.0,0:1:08,Highly Engaged
Airtel,2019-11-08,3.0,79.0,0 days 06:13:26,0:50:32,44.0,0:1:08,Moderately Engaged
Airtel,2019-11-11,5.0,78.0,0 days 05:56:43,0:50:32,44.0,0:1:08,Moderately Engaged
Airtel Xstream,2019-08-28,4.0,73.0,0 days 05:32:34,0:08:04,6.0,0:1:20,Moderately Engaged
Airtel Xstream,2019-09-05,2.0,79.0,0 days 06:33:23,0:08:04,6.0,0:1:20,Highly Engaged
Airtel Xstream,2019-10-08,1.0,68.0,0 days 05:36:21,0:08:04,6.0,0:1:20,Moderately Engaged
Amazon Kindle,2019-05-29,2.0,63.0,0 days 06:04:37,26:26:56,411.0,0:3:51,Moderately Engaged
Amazon Kindle,2019-06-04,1.0,75.0,0 days 05:07:30,26:26:56,411.0,0:3:51,Moderately Engaged
Amazon Kindle,2019-06-05,2.0,45.0,0 days 07:04:15,26:26:56,411.0,0:3:51,Highly Engaged
Amazon Kindle,2019-06-07,12.0,69.0,0 days 05:33:33,26:26:56,411.0,0:3:51,Moderately Engaged
Amazon Kindle,2019-06-08,15.0,80.0,0 days 06:10:35,26:26:56,411.0,0:3:51,Moderately Engaged
Amazon Kindle,2019-06-09,48.0,66.0,0 days 07:11:13,26:26:56,411.0,0:3:51,Highly Engaged
Amazon Kindle,2019-06-10,8.0,79.0,0 days 04:22:21,26:26:56,411.0,0:3:51,Moderately Engaged
Amazon Kindle,2019-06-11,18.0,78.0,0 days 05:18:00,26:26:56,411.0,0:3:51,Moderately Engaged
Amazon Kindle,2019-06-12,14.0,72.0,0 days 06:10:34,26:26:56,411.0,0:3:51,Moderately Engaged
